,variables,VIF
82,"0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",17541172751.00536
83,"0__fft_coefficient__attr_""abs""__coeff_8",343311360.7262699
84,"0__fft_coefficient__attr_""abs""__coeff_13",179119496.80329365
85,"0__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",96373880599.833
86,"0__fft_coefficient__attr_""abs""__coeff_6",352688478.67922527
87,0__number_crossing_m__m_1,42.54576636724607
88,0__longest_strike_above_mean,13.217214894995033
89,"0__fft_coefficient__attr_""abs""__coeff_3",256459398.0749198
90,"0__fft_coefficient__attr_""abs""__coeff_7",383895730.25675404
91,"0__fft_coefficient__attr_""abs""__coeff_4",454694887.3849111
92,"0__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",44549735906.28783
93,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",16379287042.593918
94,0__permutation_entropy__dimension_7__tau_1,32.86323411480486
95,0__permutation_entropy__dimension_6__tau_1,30.998342422465345
96,"0__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",20635191661.663177
97,"0__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",119314875345.94843
98,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",52983525027.88819
99,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",9007199254740992.0
100,0__index_mass_quantile__q_0.2,14.968720389328078
101,"0__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",11200699427.904
102,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",1941289993.8469326
103,"0__fft_coefficient__attr_""imag""__coeff_1",4935140664.966861
104,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",1197708680.495305
105,0__permutation_entropy__dimension_5__tau_1,25.49556635532674
106,0__energy_ratio_by_chunks__num_segments_10__segment_focus_5,39.565441849882255
107,0__last_location_of_maximum,18.083627987149082
108,0__first_location_of_maximum,18.9030221914405
109,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",9007199254740992.0
110,"0__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",78450356705.11429
111,0__index_mass_quantile__q_0.1,11.334156542832233
112,"0__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",201548428166.05487
113,"0__linear_trend__attr_""slope""",65928848299.96334
114,0__index_mass_quantile__q_0.4,15.166307711674248
115,0__approximate_entropy__m_2__r_0.1,6.095373268882438
116,"0__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",2542838485.4032083
117,"0__fft_coefficient__attr_""angle""__coeff_1",1526.2731848427925
118,"0__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",72207207371.6019
119,0__ratio_value_number_to_time_series_length,89.22919599294681
120,0__value_count__value_1,78.86548593707742
121,0__percentage_of_reoccurring_datapoints_to_all_datapoints,90.28014751066702
122,0__sum_of_reoccurring_data_points,58.81516162961925
123,0__percentage_of_reoccurring_values_to_all_values,17.623216565076113
124,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",5516.693692404907
125,0__permutation_entropy__dimension_4__tau_1,14.33333079537376
126,0__permutation_entropy__dimension_3__tau_1,11.289405943189342
127,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",2706518.572618343
128,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",1972326.135533258
129,"0__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",46735048979.3492
130,0__number_peaks__n_1,13.841112731320408
131,0__approximate_entropy__m_2__r_0.3,7.581054667628967
132,0__autocorrelation__lag_9,10.763927798975997
133,0__last_location_of_minimum,4.042164816010727
134,0__first_location_of_minimum,4.085134824304004
135,0__quantile__q_0.1,3.597678421372677
136,0__autocorrelation__lag_7,8.882474370328213
137,"0__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",30669488006.718033
138,0__sample_entropy,8.071438758649656
139,0__approximate_entropy__m_2__r_0.9,8.783928848959516
140,0__approximate_entropy__m_2__r_0.5,7.459926746822023
