,variables,VIF
82,"0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",9725600161.900064
83,"0__fft_coefficient__attr_""abs""__coeff_8",335039226.4615318
84,"0__fft_coefficient__attr_""abs""__coeff_13",179273736.59526545
85,"0__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",106739340578.7876
86,"0__fft_coefficient__attr_""abs""__coeff_6",348865675.38412595
87,0__number_crossing_m__m_1,36.363772679229456
88,0__longest_strike_above_mean,8.942221222445108
89,"0__fft_coefficient__attr_""abs""__coeff_3",259752133.10241732
90,"0__fft_coefficient__attr_""abs""__coeff_7",380677257.2681879
91,"0__fft_coefficient__attr_""abs""__coeff_4",449448750.3406091
92,"0__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",49540462859.17549
93,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",16432027158.201496
94,0__permutation_entropy__dimension_7__tau_1,32.51450182809591
95,0__permutation_entropy__dimension_6__tau_1,27.49628855893327
96,"0__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",10596580339.92658
97,"0__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",59101193905.2446
98,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",49555726289.98285
99,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",9007199254740992.0
100,0__index_mass_quantile__q_0.2,15.017053374256554
101,"0__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",28888672679.498997
102,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",1938577957.3778386
103,"0__fft_coefficient__attr_""imag""__coeff_1",4719836580.382426
104,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",1175787083.042253
105,0__permutation_entropy__dimension_5__tau_1,25.000454869507188
106,0__energy_ratio_by_chunks__num_segments_10__segment_focus_5,39.35864760673189
107,0__last_location_of_maximum,18.979632533905903
108,0__first_location_of_maximum,18.448237194565603
109,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",9007199254740992.0
110,"0__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",78459240378.9252
111,0__index_mass_quantile__q_0.1,11.493086701110913
112,"0__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",212800322601.19998
113,"0__linear_trend__attr_""slope""",35872393383.810555
114,0__index_mass_quantile__q_0.4,15.386003691395175
115,0__approximate_entropy__m_2__r_0.1,6.169364563277752
116,"0__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",2388065202.187255
117,"0__fft_coefficient__attr_""angle""__coeff_1",1530.7547561639394
118,"0__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",61400442102.995255
119,0__ratio_value_number_to_time_series_length,49.22934297860789
120,0__value_count__value_1,92.6673763734401
121,0__percentage_of_reoccurring_datapoints_to_all_datapoints,47.84046932622601
122,0__sum_of_reoccurring_data_points,92.28233077668166
123,0__percentage_of_reoccurring_values_to_all_values,20.916569488913627
124,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",5509.339902559432
125,0__permutation_entropy__dimension_4__tau_1,14.549748003725126
126,0__permutation_entropy__dimension_3__tau_1,11.559317950885196
127,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",2710157.780231869
128,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",1977660.9278521554
129,"0__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",26947330920.206886
130,0__number_peaks__n_1,13.05149720149931
131,0__approximate_entropy__m_2__r_0.3,7.73813750716865
132,0__autocorrelation__lag_9,10.748653213104868
133,0__last_location_of_minimum,4.092531312449908
134,0__first_location_of_minimum,4.038470449299347
135,0__quantile__q_0.1,3.59614149775407
136,0__autocorrelation__lag_7,8.979043372125576
137,"0__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",26793903175.041473
138,0__sample_entropy,8.055866573268899
139,0__approximate_entropy__m_2__r_0.9,8.87824676477036
140,0__approximate_entropy__m_2__r_0.5,7.754640281178841
141,"0__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",125577883260.47726
142,0__autocorrelation__lag_8,7.3640624458268915
143,0__fourier_entropy__bins_3,6.359185273499876
144,"0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",34.29472371390969
