,variables,VIF
84,"0__fft_coefficient__attr_""abs""__coeff_13",1114893.658666607
85,"0__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",inf
86,"0__fft_coefficient__attr_""abs""__coeff_6",2683426.8879001946
87,0__number_crossing_m__m_1,26.925826077631704
88,0__longest_strike_above_mean,12.447385040839793
89,"0__fft_coefficient__attr_""abs""__coeff_3",2552533.28061035
90,"0__fft_coefficient__attr_""abs""__coeff_7",2718390.01835502
91,"0__fft_coefficient__attr_""abs""__coeff_4",3184376.770429769
92,"0__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",inf
93,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",inf
94,0__permutation_entropy__dimension_7__tau_1,151.98522494230727
95,0__permutation_entropy__dimension_6__tau_1,177.76451683272074
96,"0__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",inf
97,"0__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",inf
98,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",inf
99,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",86607685141740.31
100,0__index_mass_quantile__q_0.2,16.077528805759737
101,"0__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",inf
102,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",349072277.9006905
103,"0__fft_coefficient__attr_""imag""__coeff_1",4503599627370496.0
104,"0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",64693566.27516032
105,0__permutation_entropy__dimension_5__tau_1,136.3074057681514
106,0__energy_ratio_by_chunks__num_segments_10__segment_focus_5,13.451701296382348
107,0__last_location_of_maximum,27.607960506181197
108,0__first_location_of_maximum,26.821964074423715
109,"0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",36319351833633.03
110,"0__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",inf
111,0__index_mass_quantile__q_0.1,11.214654356549143
112,"0__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",inf
113,"0__linear_trend__attr_""slope""",inf
114,0__index_mass_quantile__q_0.4,20.59421406492022
115,0__approximate_entropy__m_2__r_0.1,7.043924332723907
116,"0__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",inf
117,"0__fft_coefficient__attr_""angle""__coeff_1",10.137755597707251
118,"0__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",inf
119,0__ratio_value_number_to_time_series_length,5746.964398546124
120,0__value_count__value_1,10425.89080447842
121,0__percentage_of_reoccurring_datapoints_to_all_datapoints,2146.778857429193
122,0__sum_of_reoccurring_data_points,12480.182945428773
123,0__percentage_of_reoccurring_values_to_all_values,41.83535723995261
124,"0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",31.907039617653997
125,0__permutation_entropy__dimension_4__tau_1,39.87922340556644
126,0__permutation_entropy__dimension_3__tau_1,19.057346042878812
127,"0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",640.4433148685973
128,"0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",633.7688640654775
129,"0__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",inf
130,0__number_peaks__n_1,13.808470223360693
131,0__approximate_entropy__m_2__r_0.3,9.500065811312107
132,0__autocorrelation__lag_9,8.691420489832195
133,0__last_location_of_minimum,7.086888340925526
134,0__first_location_of_minimum,7.080089460972247
135,0__quantile__q_0.1,3.803595946742916
136,0__autocorrelation__lag_7,5.619395596766288
137,"0__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",inf
